estandar	dialectal	whisper
no	no	No,
~,	~,	no,
no	no	no,
~,	~,	no
no	no	va
~.	~.	a
No	No	acabar.
vagaba	vagaba	No
~,	~,	va
no	no	a
vagaba	vagaba	acabar,
~.	~.	por
Por	Por	la
la	la	noche
noche	noche	cuando
~,	~,	veía
cuando	cuando	lo
venías	venías	que
~,	~,	quería
lo	lo	era
que	que	acabar
querías	querías	de
era	era	recoger
acabar	acabar	y
de	de	dormir.
recoger	recoger	Que
y	y	esto
a	a	vas
dormir	dormir	a
~,	~,	cansar,
que	que	pero
estabas	estabas	a
cansao	cansao	día
pa	pa	no,
dormir	dormir	a
~.	~.	día
Por	Por	no,
la	la	a
mañana	mañana	día
~,	~,	no.
a	a	Pero
las	las	de
cinco	cinco	enfranzando.
la	la	Entonces
mañana	mañana	no
~,	~,	va
otra	otra	a
vez	vez	acabar
danzando	danzando	conmabla
~.	~.	que
[OTRAS-EM]	[OTRAS-EM]	se
Entonces	Entonces	es
no	no	un
vagabas	vagabas	tan
como	como	país
ahora	ahora	de
que	que	las
~…	~…	córrobras
que	que	y
se	se	se
juntan	juntan	están
pa	pa	charlando,
ir	ir	se
las	las	van
corroblas	corroblas	a
y	y	emanación.
~…	~…	Entonces
se	se	no
están	están	van
charlando	charlando	a
~…	~…	jugar
o	o	una
se	se	fuokachtera
van	van	y
al	al	kommunal
gimnasio	gimnasio	del
o	o	guru,
unas	unas	con
cosas	cosas	sei
o	o	de
otras	otras	donde
 	 	recibe
 	 	todo
 	 	Joseph
 	 	Y.
 	 	comfortable,
 	 	la
 	 	eslo.
 	 	Necesitando
 	 	crate,
 	 	Ready,
