estandar	dialectal	whisper
no	no	una
~,	~,	ocena
no	no	de
~.	~.	huevos,
Una_docena	Una_docena	este
de	de	pagaba
huevos	huevos	lo
él	él	que
te	te	valía
pagaba	pagaba	la
lo	lo	ocena
que	que	de
valía	valía	huevos,
[V-Sml]	[V-Sml]	o
la	la	sea,
docena	docena	yo,
de	de	el
huevos	huevos	cambio,
~.	~.	y
[OTRAS-EM]	[OTRAS-EM]	se
O	O	ya
sea	sea	no
~,	~,	le
yo	yo	conocido,
eso	eso	yo,
no	no	si
l'he	l'he	tenía
~|	~|	huevos
el	el	de
cambio	cambio	sobra,
ese	ese	se
ya	ya	los
no	no	vendía,
l'he	l'he	y
conocido	conocido	si
~.	~.	le
O	O	compraba
sea	sea	cosas,
~,	~,	pues
yo	yo	se
si	si	hacía
tenía	tenía	la
huevos	huevos	cuenta
de	de	lo
sobra	sobra	que
se	se	valía
los	los	lo
vendía	vendía	de
y	y	cada
~…	~…	cual,
si	si	y
le	le	acá,
compraba	compraba	la
cosas	cosas
pues	pues
se	se
hacía	hacía
la	la
cuenta	cuenta
~,	~,
lo	lo
que	que
valía	valía
lo	lo
de	de
cada	cada
cual	cual
y	y
~…	~…
Claro	Claro
~.	~.
