estandar	dialectal	whisper
Bueno	Bueno	Bueno,
~,	~,	pues
pues	pues	mira,
mira	mira	ahora
~,	~,	te
ahora	ahora	voy
te	te	a
voy	voy	decir,
a	a	ahora
decir	decir	que
~,	~,	me
ahora	ahora	hablar
que	que	de
me	me	esto.
hablas	hablas	Cuando
de	de	la
esto	esto	guerra,
~.	~.	pues
Cuando	Cuando	en
la	la	todas
Guerra	Guerra	las
~,	~,	cosas
pues	pues	faltaban
entonces	entonces	en
~,	~,	muchos
las	las	lados.
cosas	cosas	Y
faltaban	faltaban	nosotros,
en	en	recuerdo
muchos	muchos	que
lados	laos	íbamos
y	y	a
nosotros	nosotros	vender
~,	~,	y
recuerdo	recuerdo	teníamos
que	que	ahí
íbamos	íbamos	dos
a	a	pueblos
vender	vender	que
y	y	daban
teníamos	teníamos	abastecimiento,
ahí	ahí	que
dos	dos	daban
pueblos	pueblos	arroz,
que	que	daban
daban	daban	cosas
~…	~…	en
abastecimiento	abastecimiento	los
de	de	pueblos.
~…	~…	Y
~,	~,	nosotros,
que	que	por
daban	daban	las
arroz	arroz	cambiábamos,
~,	~,	en
daban	daban	cuenta
cosas	cosas	de
en	en	medias
los	los	calcetíricas
pueblos	pueblos	a
y	y
nosotros	nosotros
~,	~,
pues	pues
las	las
cambiábamos	cambiábamos
en	en
cuenta	cuenta
de	de
medias	medias
~,	~,
calcetines	calcetines
y	y
cosa	cosa
de	de
eso	eso
~.	~.
