estandar	dialectal	whisper
Vamos	Vamos	Vamos,
~,	~,	vamos,
vamos	vamos	vamos,
~,	~,	vamos
vamos	vamos	a
a	a	decirnos
hablar	hablar	lo
si	si	importante
no	no	de
le	le	antes.
importa	importa	Me
de	de	has
~,	~,	dicho
de	de	que
antes	antes	la
~.	~.	relación
Mire	Mire	entre
~,	~,	los
es	es	padres
que	que	y
no-	no-	hijo
~,	~,	ha
nos	nos	cambiado
han	han	mucho.
dicho	dicho
que	que
~,	~,
[OTRAS-EM]	[OTRAS-EM]
que	que
la	la
relación	relación
entre	entre
los	los
padres	padres
e	e
hijos	hijos
ha	ha
cambiao	cambiao
mucho	mucho
~…	~…
