estandar	dialectal	whisper
Poner	Poner	Un
un	un	pochero
puchero	puchero	chiquito
chiquito	chiquito	en
en	en	la
la	la	lumbra
lumbre	lumbre	y,
y	y	en
en	en	vez
vez	vez	de
de	de	este,
este	este	caldo
caldo	caldo	las
las	las	sopas,
sopas	sopas	por
~,	~,	las
pues	pues	sopas
las	las	espesas
sopas	sopas	y
espesas	espesas	con
y	y	una
con	con	poca
una	una	manteca
poca	poca	y
manteca	manteca	una
y	y	poca
una	una	dujan.
poca	poca	A
azúcar	azúcar	ver,
~,	~,	son
pa	pa	las
darsela	dásela	cosas
a	a	claramente.
los	los	Por
chicos	chicos	eso
~.	~.	me
		llanto.
Qué	Qué	Ya
alimento	alimento	igual
~,	~,	la
		]			]	saca
majo	majo	bien,
~,	~,	pues
por	por	quedó
eso	eso	mucho
se	se	la
morían	morían
~,	~,
tonta	tonta
~.	~.
Llegaba	Llegaba
ahora	ahora
~…	~…
