estandar	dialectal	whisper
|T11|	|T11|	Pero
[A-Nul]	[A-Nul]	mal
Dígame	Dígame	aunque
~,	~,	me
		dican
Anonimizado	Anonimizado	me
		lo
~,	~,	estoy
dígame	dígame	ontolar
~,	~,	si
[OTRAS-EM]	[OTRAS-EM]	lo
es	es	es
usted	usted	su
~…	~…	rigo
¿~	¿~	y
su	su	su
apellido	apellido	rap.
es	es	Aproximadamente
	
Anonimizado	Anonimizado
	
y	y
su	su
~…	~…
~?	~?
[HS:I1	[HS:I1
					
Anonimizado	Anonimizado
~,	~,
Vera_Serrano	Vera_Serrano
	
~.	~.
		]			]
Sí	Sí
~,	~,
	
Anonimizado	Anonimizado
	
~.	~.
¿~	¿~
Y	Y
~,	~,
y	y
su	su
~…	~…
~,	~,
y	y
su	su
edad	edad
~,	~,
por	por
favor	favor
~?	~?
Aproximadamente	Aproximadamente
~,	~,
sin	sin
que	que
~…	~…
