estandar	dialectal	whisper
arriba	arriba	Y
~,	~,	antes
y	y	no
en	en	había
el	el	de
año	año	una
treinta_y_ocho	treinta_y_ocho	iglesia.
~,	~,	Había
el	el	una
día	día	iglesia
veintiocho	ventiocho	de
de	de	arriba
julio	julio	y
del	del	en
año	año	el
mil_novecientos	mil_novecientos	año
~,	~,	38
el	el	el
ventiocho	ventiocho	día
de	de	28
junio	junio	de
del	del	julio
año	año	de
mil_novecientos	mil_novecientos	la
trenta-	trenta-	año
~,	~,	1900.
treinta_y_seis	treinta_y_seis	Yo
~;	~;	en
sí	sí	el
que	que	28
yo	yo	de
tenía	tenía	julio
una	una	de
masía	masía	la
al	al	año
otro	otro	1930.
cost-	cost-	¿Sien
~,	~,	que
al	al	yo
otro	otro	tenía
lado	lado	una
~,	~,	masía
una	una	en
masía	masía	otro
muy	muy	lado,
grande	grande	una
~,	~,	masía
y	y	muy
había	había	grande
pues	pues	y
arriba	arriba	había
y	y	vuelo
estaba	estaba	de
escrito	escrito	arriba
con	con	y
lápiz	lápiz	estaba
~,	~,	escrito
allí	allí	con
a	a	una
la	la	pisa
~,	~,	y
a	a	a
la	la	la
~,	~,	pared.
a	a	Estoy
la	la	viendo
pared	pared	como
~:	~:	que
«~	«~	man
Estoy	Estoy	la
viendo	viendo	iglesia
cómo	cómo	de
queman	queman	la
la	la	iglesia
iglesia	iglesia	de
García	García	18
el	el	de
ventiocho	ventiocho	julio
de	de	de
julio	julio	la
del	del	año
año	año	1900.
[A-Inn]	[A-Inn]	Y
36	36	me
~»	~»	va
 	 	a
 	 	ver
 	 	de
 	 	18
 	 	de
 	 	julio
 	 	de
 	 	la
 	 	iglesia.
