estandar	dialectal	whisper
Vestidas	Vestidas	Mujerías
~.	~.	también
Las	Las	vestidas,
mujeres	mujeres	más
también	también	que
vestidas	vestidas	nada,
~,	~,	también,
vestidas	vestidas	a
~,	~,	que
eso	eso	muera
~…	~…	comprar
~,	~,	o
vestidas	vestidas	el
~…	~…	fris,
vestidas	vestidas	son
~,	~,	más
se	se	grandes
iba	iba	también,
a	a	debía
~…	~…	atientar
Más	Más	el
que	que	fris
nada	nada	también,
también	también	también,
era	era	tendrán.
a	a	Andando,
~…	~…	el
que	que	fris
Mora	Mora	se
a	a	tenía
comprar	comprar	que
~,	~,	ir
o	o	andando,
en	en	los
Flix	Flix	tres
~,	~,	reocompagiados,
al	al	fue
ser	ser	bien
más	más	por
grande	grande	la
también	también	tarde,
había	había	no
tiendas	tiendas	había
~,	~,	ninguno
en	en	por
Flix	Flix	la
también	también	mañana,
había	había	así
tiendas	tiendas	que
~.	~.	se
~¡~	~¡~	iba
Andando	Andando	andando,
~!	~!	he
A	A	ido
Flix	Flix	andando
se	se	el
tenía	tenía	fris,
que	que	de
ir	ir	comprar
andando	andando	con
~.	~.	mi
Los	Los	madre
trenes	trenes	y
no	no	luego
compaginaban	compaginaban	pagamos
~.	~.
Subían	Subían
por	por
la	la
tarde	tarde
~…	~…
~¡~	~¡~
No	No
había	había
ninguno	ninguno
por	por
la	la
mañana	mañana
~!	~!
O	O
sea	sea
que	que
se	se
iba	iba
andando	andando
~.	~.
He	He
ido	ido
andando	andando
a	a
Flix	Flix
también	también
a	a
comprar	comprar
con	con
mi	mi
madre	madre
y	y
luego	luego
[Rndo:	[Rndo:
		bajábamos			bajábamos
andando	andando
~.	~.
		]			]
