estandar	dialectal	whisper
¿~	¿~	No,
Eh	Eh	después
~?	~?	nos
No	No	jugamos
~,	~,	de
después	después	sal.
[HS:E	[HS:E	Una
		Sí			Sí	megadella
~.	~.	estaba
		]			]	preparado
los	los	jamón.
colgábamos	colgábamos	Se
de	de	me
sal	sal	tía
[HS:E	[HS:E	basado
		¿~			¿~	encima.
Los	Los	Sí,
~,	~,	lo
los	los	plano
colgábamos	colgábamos	sí,
~?	~?	me
		]			]	tía
una	una	dos
[A-Pau:	[A-Pau:	por
		vez			vez	encima.
de	de	Y
		]			]	cuando
ya	ya	tenía
estaba	estaba	que
preparado	preparado	estar,
el	el	pues,
jamón	jamón	si
~,	~,	no,
se	se	mal,
metía	metía	esto
la	la	es
sal	sal	digo,
encima	encima	un
~,	~,	kilo
a	a	de
un	un	jamón,
sitio	sitio	un
plano	plano	día
así	así	de
~,	~,	sal.
[G-Mst]	[G-Mst]	Si
le	le	hacían
metías	metías	muy
eso	eso	grandes,
~,	~,	50
dos	dos	kilos
dedos	dedos	o
por	por	lo
encima	encima	que
~,	~,	sea,
eh	eh	17.
~,	~,	Pues,
a	a	17
todo	todo	días
~,	~,	de
todo	todo
~,	~,
todo	todo
~,	~,
todo	todo
~,	~,
todo	todo
~.	~.
Y	Y
~…	~…
¿~	¿~
cuándo	cuándo
tenían	tenían
que	que
estar	estar
~?	~?
Pues	Pues
~,	~,
si	si
no	no
mal	mal
~,	~,
pues	pues
te	te
digo	digo
~,	~,
un	un
kilo	kilo
~,	~,
un	un
kilo	kilo
de	de
jamón	jamón
~,	~,
un	un
día	día
de	de
sal	sal
~,	~,
se	se
hacían	hacían
~…	~…
~,	~,
eran	eran
muy	muy
grandes	grandes
~,	~,
eran	eran
muy	muy
grandes	grandes
~,	~,
quince	quince
kilos	kilos
o	o
lo	lo
que	que
sea	sea
~,	~,
diecisiete	diecisiete
~,	~,
pues	pues
~…	~…
diecisiete	diecisiete
días	días
de	de
sal	sal
~.	~.
