estandar	dialectal	whisper
Bueno	Bueno	Wow
~,	~,	¡No
pero	pero	baby,
no	no	Alpected.
~,	~,	El
[HS:I3	[HS:I3	momento
		~¡~			~¡~	dezeposo
Uf	Uf	no
~,	~,	entonia.
a	a	O
ellos	ellos	sea,
~!	~!	¿pero
~,	~,	no?
a	a	El
ellos	ellos	pobistero
~.	~.	se
		]			]	respetaba
por	por	que
ejemplo	ejemplo	элект
~,	~,	dachte
en	en	que
fiestas	fiestas	estoy
~,	~,	la
a	a	batalla
las	las	que
doce	doce	nos
pasaba	pasaba	vería,
~,	~,	que
pero	pero	gehtes
no	no	las
~:	~:	recordedas
«~	«~	actas�as,
Shhh	Shhh	encore
[ONOMAT]	[ONOMAT]	del
~»	~»	amor,
~.	~.	a
[RISAS]	[RISAS]	los
Estábamos	Estábamos	stables
chillando	chillando	que
~,	~,	lied
pasaba	pasaba	y
él	él	ahí
~:	~:	a
«~	«~	Jaón
Shhh	Shhh	diesel
[ONOMAT]	[ONOMAT]	Whatever,
~»	~»	si
~.	~.	todavía
Es	Es	noPlac
que	que	reformo
se	se	allí.
respe-	respe-	Lle
~,	~,	interview.
es	es	Cuando
lo	lo	yo
que	que	tiene
decíamos	decíamos	que
antes	antes	ser
~,	~,	del
[HS:I2	[HS:I2	mes
		Se			Se	que
respetaba	respetaba	se
~.	~.	residency,
		]			]	yo
a	a	como
la	la	tiempo
autoridad	autoridad	era
la	la	en
respetabas	respetabas	el
~.	~.	hogar
[HS:I3	[HS:I3	cuando
		Y			Y	lo
algunos	algunos
los	los
llevaban	llevaban
a	a
la	la
casa	casa
~,	~,
que	que
no	no
podían	podían
ir	ir
solos	solos
~.	~.
[RISA]	[RISA]
		]			]
Teníamos	Teníamos
cuartel	cuartel
de	de
la	la
Guardia_Civil	Guardia_Civil
~,	~,
pues	pues
cuando	cuando
los	los
veías	veías
por	por
allá	allá
~,	~,
me	me
cago	cago
en	en
diez	diez
~,	~,
ya	ya
te	te
ponías	ponías
más	más
serio	serio
que	que
un	un
tritón	tritón
~.	~.
[RISAS]	[RISAS]
No	No
~,	~,
no	no
~,	~,
na	na
más	más
de	de
verlo	verlo
ahí	ahí
la	la
manta	manta
~,	~,
con	con
el	el
~,	~,
con	con
el	el
~,	~,
me	me
cago	cago
en	en
diez	diez
~;	~;
[HS:I3	[HS:I3
		Sí			Sí
~,	~,
sí	sí
~,	~,
sí	sí
~,	~,
que	que
también	también
daban	daban
vuelta	vuelta
~.	~.
		]			]
y	y
entraban	entraban
al	al
café	café
~,	~,
porque	porque
estabas	estabas
allí	allí
~,	~,
[HS:I3	[HS:I3
		Antes			Antes
era	era
[G-Mst]	[G-Mst]
«~	«~
cara	cara
al	al
sol	sol
~»	~»
~.	~.
		]			]
y	y
to'l	to'l
mundo	mundo
callabas	callabas
~,	~,
y	y
jugabas	jugabas
a	a
las	las
cartas	cartas
~:	~:
«~	«~
Eh	Eh
~,	~,
que	que
entra	entra
el	el
guardia	guardia
civil	civil
~»	~»
~.	~.
Era	Era
muy	muy
~…	~…
~,	~,
era	era
muy	muy
regio	regio
~,	~,
[HS:I3	[HS:I3
		Era			Era
todo	todo
muy	muy
~…	~…
~,	~,
¿~	¿~
eh	eh
~?	~?
~,	~,
era	era
muy	muy
serio	serio
~.	~.
		]			]
bueno	bueno
~,	~,
era	era
el	el
régimen	régimen
que	que
había	había
y	y
el	el
régimen	régimen
era	era
así	así
represivo	represivo
un	un
poco	poco
~.	~.
[HS:I3	[HS:I3
		Y			Y
el	el
sereno	sereno
		]			]
