estandar	dialectal	whisper
No	No	a
~…	~…	decirlo,
Aquí	Aquí	de
sí	sí	pastor,
~…	~…	primero
~,	~,	con
se	se	Pacas,
ha	ha	luego
vivido	vivido	con
~…	~…	Ovejas,
Uy	Uy	fui
~,	~,	una
ahora	ahora	temporada
~.	~.	contratante,
Cualquiera	Cualquiera	me
le	le	metí
dice	dice	de
nada	nada	de
a	a	tención,
un	un	me
chaval	chaval	meté
~.	~.	en
Pero	Pero	la
antes	antes	tienda,
~,	~,	me
antes	antes	fui
eras	eras	porque
unos	unos	me
esclavos	esclavos	pagaba
~.	~.	por
~¡~	~¡~	yo
Yo	Yo	que
lo	lo	ya
digo	digo	no
~!	~!	quedé,
Yo	Yo	me
cuento	cuento	fui
mi	mi	a
niñez	niñez
~…	~…
Un	Un
esclavo	esclavo
~.	~.
Yo	Yo
he	he
sido	sido
un	un
esclavo	esclavo
~,	~,
trabajando	trabajando
desde	desde
ocho	ocho
años	años
~…	~…
~¡~	~¡~
Habéis	Habéis
oído	oído
~!	~!
De	De
pastor	pastor
~.	~.
Primero	Primero
con	con
vacas	vacas
~,	~,
luego	luego
con	con
ovejas	ovejas
~.	~.
Fui	Fui
~…	~…
una	una
temporada	temporada
con	con
tratantes	tratantes
~.	~.
Después	Después
me	me
metí	metí
de	de
~…	~…
dependiente	dependiente
~.	~.
