estandar	dialectal	whisper
~¡~	~¡~	que
No	No	allí
haces	haces	se
caso	caso	vían
~!	~!	a
Allí	Allí	arriba
no	no	en
se	se	la
hace	hace	montaña
caso	caso	de
ya	ya	los
~.	~.	los
Se	Se	nacionales
acostumbra	acostumbra	que
uno	uno	decían
~…	~…	y
Eh	Eh	ahí
~…	~…	los
Allí	Allí	rojos
~,	~,	¡Hey!
[HS:E3	[HS:E3	se
		¿~			¿~	moceaba
Nunca	Nunca	a
tenían	tenían	la
miedo	miedo	derecha
~?	~?	¿Bronco
		]			]	bajaremos?
en	en	¿Fronto?
las	las	¿Bronco
ca-	ca-	bajaremos?
~,	~,	¿Y
en	en	qué?
las	las	¿Villas
~,	~,	en
en	en	la
~,	~,	plata?
en	en	¿Y
las	las	nosotros?
calle	calle	¿Y
más	más	por
altas	altas	favor?
del	del	¿Y
pueblo	pueblo	por
~,	~,	favor?
[HS:E3	[HS:E3	Aquí
		[Asent]			[Asent]	no,
~.	~.	en
		]			]	el
allí	allí	todo,
vivía	vivía	no
una	una	ve
~,	~,	gente
una	una	que
tía	tía	lo
mía	mía	que
~,	~,	ahorimofías
una	una	perdungas
chica	chica	yaba
también	también	aquí
~,	~,	para
tenía	tenía	un
~…	~…	mal
como	como	día
un	un	y
poco	poco	siempre
más	más	a
joven	joven	Vicente
~…	~…	¿Y
Pues	Pues	ese
vamos	vamos	informe
~,	~,	lo
allí	allí	pasa?
se	se	¡Muchas
vían	vían	conhece!
~…	~…	No
Arriba	Arriba	pasa
en	en	mucho
la	la	a
montaña	montaña	nuestra
~,	~,	no
los	los	nos
~…	~…	vení
~,	~,	en
los	los	хл해도
nacionales	nacionales	en
que	que	el
decían	decían
~.	~.
Y	Y
áhi	áhi
~,	~,
los	los
rojos	rojos
~.	~.
«~	«~
~¡~	~¡~
Eh	Eh
~!	~!
~»	~»
~,	~,
te	te
voceaban	voceaban
~,	~,
«~	«~
pronto	pronto
bajaremos	bajaremos
~,	~,
pronto	pronto
~,	~,
pronto	pronto
bajaremos	bajaremos
~…	~…
~»	~»
~.	~.
Y	Y
~…	~…
[A-PIn:	[A-PIn:
		a			a
lo	lo
mejor	mejor
vivías	vivías
		]			]
en	en
la	la
plaza	plaza
~…	~…
Y	Y
nosotros	nosotros
~…	~…
[OTRAS-EM]	[OTRAS-EM]
Los	Los
chavales	chavales
no	no
nos	nos
dábamos	dábamos
cuenta	cuenta
~.	~.
