estandar	dialectal	whisper
|T6|	|T6|	La
Ella	Ella	leyazona,
sola	sola	pues,
~.	~.	iba...
Pues	Pues	Mi
~…	~…	padre
iba	iba	estaba
[OTRAS-EM]	[OTRAS-EM]	con
mi	mi	los
padre	padre	piones,
estaba	estaba	que
con	con	iba
los	los	a
peones	peones	estar
que	que	lo
~,	~,	que
que	que	se
iba	iba	grababan
a	a	ellos,
atar	atar	a
lo	lo	ver
que	que	lo
segaban	segaban	que
ellos	ellos	se
~,	~,	abara.
¿~	¿~	¿Aterlas
sabes	sabes	la
lo	lo	villa?
que	que	Que
es	es
atar	atar
~?	~?
[HS:E1	[HS:E1
		Pues			Pues
~…	~…
		]			]
[V-Ljn]	[V-Ljn]
Atar	Atar
las	las
gavillas	gavillas
~.	~.
