estandar	dialectal	whisper
Pues	Pues	En
~,	~,	un
en	en	incendio
un	un	también
incendio	incendio	echaban
~,	~,	a
también	también	tocar
echaban	echaban	las
a	a	campanas
tocar	tocar	cuerte
las	las	cortíde
campanas	campanas	y
fuerte	fuerte	entonces
~,	~,	habían
fuerte	fuerte	que
y	y	había
entonces	entonces	habido
sabían	sabían	alguna
que	que	fema
~,	~,	y
que	que	van
había	había	a
habido	habido	pagar
alguna	alguna	a
quema	quema	con
~,	~,
y	y
iban	iban
a	a
apagarla	apagala
con	con
calderetas	calderetas
~.	~.
