estandar	dialectal	whisper
Pues	Pues	Se
el	el	puede
cocido	cocido	poner
~,	~,	un
se	se	poquito
puede	puede	de
poner	poner	tocinó,
un	un	o
poquito	poquito	vien
de	de	un
~…	~…	poquito
~,	~,	de
de	de	carne,
tocino	tocino	o
~,	~,	vien
o	o	un
bien	bien	poco
un	un	de
poquitín	poquitín	chavizo,
de	de	ese
carne	carne	cualros
~,	~,	para
o	o	hacer
~…	~…	los
bien	bien	flores
un	un	así,
poco	poco	un
de	de	día
~…	~…	de
~,	~,	regla,
de	de	o
chorizo	chorizo
~,	~,
por	por
ejemplo	ejemplo
~,	~,
cosas	cosas
así	así
~.	~.
[A-Inn]	[A-Inn]
adornao	adornao
~,	~,
claro	claro
~.	~.
