estandar	dialectal	whisper
[HS:I4	[HS:I4	Cuando
		cuando			cuando	lo
estalló	estalló	ronó
la	la	cuando
guerra	guerra	lo
~…	~…	nacionales
~,	~,	porque
¿~	¿~	estaba
sabes	sabes	sabido
~?	~?	mi
		]			]	hermanano
a	a	nacionales.
mí	mí	Vieron
me	me	cuando
tocó	tocó	los
~…	~…	rojos
~,	~,	vinieron
a	a	los
mí	mí	nacionales
me	me	y
tocó	tocó	me
cuando	cuando	tocó
los	los	igual.
nacionales	nacionales	Colobón
~,	~,	y
porque	porque	colobotas.
esta-	esta-	Me
~,	~,	tocó
se	se	a
había	había	cien
ido	ido
mi	mi
hermano	hermano
a	a
los	los
nacionales	nacionales
~.	~.
Vino	Vino
~…	~…
~|	~|
~-~	~-~
nieron	nieron
~…	~…
Cuando	Cuando
los	los
rojos	rojos
vinieron	vinieron
los	los
nacionales	nacionales
y	y
me	me
tocó	tocó
igual	igual
~,	~,
[HS:I3	[HS:I3
		Se			Se
~…	~…
		]			]
con	con
los	los
unos	unos
y	y
con	con
los	los
otros	otros
~,	~,
[HS:I3	[HS:I3
		Seguía			Seguía
~…	~…
siendo	siendo
		]			]
me	me
tocó	tocó
to	to
~.	~.
