estandar	dialectal	whisper
No	No	Porque
~,	~,	esto
porque	porque	ya
to	to	hace
eso	eso	muchos
ya	ya	años,
hace	hace	sí
muchos	muchos	que
años	años	esto
~,	~,	ya
[HS:E2	[HS:E2	no
		Ya			Ya	existe,
~…	~…	ya
		]			]	te
yo	yo	digo
qué	qué	que
sé	sé	ya
~,	~,	hace
si	si	por
es	es	lo
que	que	menos
to	to	30,
eso	eso	35
ya	ya	años,
no	no	que
existe	existe	ya
ya	ya	estaba
te	te	con
digo	digo	mecanizados
que	que	o
ya	ya	a
hace	hace	lo
por	por	mejor
lo	lo	40,
menos	menos	pero
~…	~…	vamos
treinta	treinta	40
o	o	pasad
treinta_y_cinco	treinta_y_cinco	del
años	años	mucho,
que	que	pero
ya	ya	30
estamos	estamos	y
con	con	35,
~…	~…	porque
mecanizaos	mecanizaos	yo
o	o	me
a	a	acuerdo
lo	lo	de
mejor	mejor	cuando
cuarenta	cuarenta	me
~,	~,	casé,
pero	pero	mira,
vamos	vamos	va
~,	~,	a
cuarenta	cuarenta	hacer
me	me	el
se	se	30
hacen	hacen	dos
muchos	muchos	años,
pero	pero	ahora
treinta	treinta	no
y	y	hago
treinta_y_cinco	treinta_y_cinco	esto
sí	sí	como
~,	~,	me
porque	porque	casé
yo	yo	y
me	me	ya
acuerdo	acuerdo	en
de	de	mis
cuando	cuando	jugos
me	me	grotes
casé	casé	tenían
~,	~,	un
mira	mira	dragtor,
~,	~,	ya
va	va	compraron
hacer	hacer	un
treinta_y_dos	treinta_y_dos	dragtor,
años	años	y
ahora	ahora	la
en	en	rica
agosto	agosto	le
que	que	tenía
me	me	lo
casé	casé	que
~,	~,	tenía
y	y	antes
ya	ya	y
mi	mi	atrás,
su-	su-	ya
~,	~,	te
en	en	quede,
casa	ca	¿que
mi	mi	te
suegro	suegro	da
tenían	tenían	idea?
~,	~,	¿que
tenían	tenían	me
un	un	hablan
tractor	tractor	de
~,	~,	los
ya	ya	viejos?
compraron	compraron	Eso
un	un	sí,
tractor	tractor	yo
que	que	no
ya	ya	me
~,	~,	acuerdo
ya	ya	de
y	y	los
~,	~,	viejos,
y	y	¿no
la	la	me
gente	gente	acuerdo
rica	rica	de
le	le	los
te-	te-
~,	~,
lo	lo
tenía	tenía
de	de
antes	antes
ya	ya
tractores	tractores
y	y
ya	ya
~,	~,
ya	ya
~|	~|
[RISAS]	[RISAS]
¿~	¿~
el	el
qué	qué
dice	dice
~?	~?
¿~	¿~
qué	qué
están	están
diciendo	diciendo
~?	~?
[HS:I3	[HS:I3
		Están			Están
hablando	hablando
de	de
los	los
piejos	piejos
~.	~.
		]			]
~¡~	~¡~
Ah	Ah
~!	~!
[RISAS]	[RISAS]
Eso	Eso
sí	sí
yo	yo
no	no
me	me
acuerdo	acuerdo
de	de
los	los
piojos	piojos
[RISAS]	[RISAS]
[HS:E2	[HS:E2
		~¡~			~¡~
Ay	Ay
~!	~!
que	que
me	me
pican	pican
		]			]
yo	yo
no	no
me	me
acuerdo	acuerdo
de	de
los	los
piojos	piojos
~,	~,
los	los
otros	otros
ya	ya
~…	~…
