estandar	dialectal	whisper
Moreras	Moreras	moreras
también	también	también
había	había	había
muchas	muchas	muchas,
~.	~.	eso
Eso	Eso	yo
yo	yo	ya
ya	ya	no
no	no	me
m'acuerdo	m'acuerdo	acuerdo,
~.	~.	eso
Eso	Eso	de
de	de	las
las	las	moreras
moreras	moreras	no
~,	~,	me
no	no	acuerdo,
m'acuerdo	m'acuerdo	pero
~,	~,	hoy
pero	pero	de
he	he	doblar
oído	oído	que
hablar	hablar	las
que	que	moreras
las	las	los
moreras	moreras	guchanos,
~,	~,	las
los	los	hogas
gusanos	gusanos	de
~,	~,	la
las	las	morera
hojas	hojas	que
de	de	por
la	la	cierto
morera	morera	nosotros
~…	~…	teníamos
Que	Que	una
~,	~,	caseta
por	por	de
cierto	cierto	mi
~,	~,	suegra
nosotros	nosotros	donde
teníamos	teníamos	antes
una	una	se
caseta	caseta	escaldaban
de	de	la
mi	mi	panza
suegra	suegra	y
~,	~,	todo
donde	donde	eso
antes	antes	y
escaldaban	escaldaban	allí
la	la	plantamos
[L-Otra:	[L-Otra:	una
		pansa			pansa	morera
		]			]	que
y	y	tiene
todo	todo	la
eso	eso	misma
~,	~,	edad
y	y	que
allí	allí	mi
plantamos	plantamos	hijo
una	una	tiene
morera	morera	49
que	que	años
tiene	tiene	la
la	la	morera
misma	misma	y
edad	edad	es
que	que	así
mi	mi	y
hijo	hijo	es
~,	~,	más
tiene	tiene	grande
cuarenta_y_nueve	cuarenta_y_nueve	que
años	años	la
la	la	iglesia
morera	morera	si
~.	~.	lo
Es	Es	hubiéramos
así	así	dejado
y	y	lo
es	es	vendimos
más	más	aquella
grande	grande	y
~,	~,	lo
llegaría	llegaría	están
~,	~,	cortando
es	es	y
más	más	saca
grande	grande	para
que	que	hacer
la	la	un
iglesia	iglesia	brío
~,	~,	pero
si	si	es
la	la	así
hubiéramos	hubiéramos	es
dejado	dejado	así
~.	~.	uno
La	La	no
vendimos	vendimos	la
aquella	aquella	marca
y	y	de
la	la	grande
están	están	que
cortando	cortando	es
y	y	la
saca	saca	morera
para	para	y
hacer	hacer	me
sombrío	sombrío	acuerdo
pero	pero	todo
es	es	eso
así	así	que
~,	~,	las
eh	eh	moreras
~,	~,	y
así	así	eso
~.	~.	que
Uno	Uno	trabajaba
no	no	mucho
lo	lo	en
~,	~,	el
no	no	guchano
lo	lo	de
abarca	abarca	ceda
de	de	pero
grande	grande	eso
que	que	ya
es	es	sería
la	la	ya
morera	morera	ya
~.	~.	no
Y	Y	tengo
m'acuerdo	m'acuerdo	conocimiento
todo	todo	así
eso	eso	que
~,	~,	lo
que	que	habíamos
la	la	habrallado
morera	morera	en
y	y	Sachen
eso	eso	que
~,	~,	está
que	que	tähän
trabajaban	trabajaban	con
mucho	mucho	y
en	en	se
el	el	doin
~,	~,	todo
en	en
el	el
gusano	gusano
de	de
seda	seda
~,	~,
pero	pero
eso	eso
ya	ya
sería	sería
~,	~,
ya	ya
~…	~…
eso	eso
ya	ya
~,	~,
ya	ya
no	no
tengo	tengo
yo	yo
conocimientos	conocimientos
~.	~.
Sí	Sí
que	que
lo	lo
he	he
oído	oído
hablar	hablar
~.	~.
