estandar	dialectal	whisper
Hombre	Hombre	hombre
~,	~,	pues
pues	pues	yo
~…	~…	que
yo	yo	le
qué	qué	voy
le	le	a
voy	voy	decir
a	a	pues
decir	decir	aquí
~.	~.	ya
Pues	Pues	hijos,
aquí	aquí	hijos
ya	ya	de
~…	~…	los
[OTRAS-EM]	[OTRAS-EM]	que
hijos	hijos	murieron
~,	~,	nada
hijos	hijos	de
~;	~;	esos
de	de	porque
los	los	mi
que	que	padre,
murieron	murieron	bueno
~,	~,	mi
nada	nada	padre
de	de	murió
eso	eso	pues
porque	porque	mi
mi	mi	marido
~…	~…	mi
mi	mi	padre
padre	padre	no
~,	~,	me
bueno	bueno	acuerdo
~,	~,	pero
mi	mi	mi
padre	padre	marido
~…	~…	murió
[OTRAS-EM]	[OTRAS-EM]	de
murió	murió	90
pues	pues	años
~|	~|	hace
mi	mi	tres
marido	marido	años
~|	~|	va
mi	mi	a
padre	padre	hacer
no	no	el
me	me	día
acuerdo	acuerdo	de
~,	~,	dos
pero	pero	santos
mi	mi	y
marido	marido	los
no	no	que
~,	~,	quedan
murió	murió	pues
de	de	mi
noventa	noventa	suero
años	años	ya
~,	~,	murió
hace	hace	ya
tres	tres	muy
años	años	mayor
va	va	y
a	a	senté
hacer	hacer	que
el	el	se
día	día	ha
tres	tres	ido
[A-Inn]	[A-Inn]	y
santos	santos	avalente
~.	~.	ahí
Y	Y	ha
los	los	muerto
que	que	aquí
quedan	quedan	y
~,	~,	aquí
pues	pues	no
~…	~…	no
mi	mi	me
suegro	suegro	hace
ya	ya	ahí,
murió	murió	sí
ya	ya	ahí
muy	muy
mayor	mayor
~,	~,
y	y
gente	gente
que	que
se	se
ha	ha
ido	ido
a	a
Valencia	Valencia
y	y
ha	ha
muerto	muerto
allí	allí
y	y
aquí	aquí
[A-PIn:	[A-PIn:
		na			na
más	más
si	si
		]			]
hay	hay
~,	~,
si	si
hay	hay
~,	~,
hijos	hijos
~.	~.
