estandar	dialectal	whisper
Lo	Lo	Lo
que	que	que
pasa	pasa	pasa
que	que	es
con	con	que
nosotros	nosotros	con
lo	lo	nosotros
hablan	hablan	lo
el	el	hablan
castellano	castellano	el
~,	~,	castellano,
pero	pero	pero
ellos	ellos	ellos
con	con	con
sus	sus	sus
padres	padres	padres
como	como	como
ya	ya	ya
lo	lo	lo
hablan	hablan	hablan,
[HS:E1	[HS:E1	yo
		[Asent]			[Asent]	lo
~.	~.	entiendo
		]			]	todo
yo	yo	porque
lo	lo	mi
entiendo	entiendo	padre
to	to	era
porque	porque	Valencian,
mi	mi	era
padre	padre	hablaba
era	era	al
valencian-	valencian-	Valenciano,
~,	~,	y
era	era	la
~|	~|	familia
hablaba	hablaba	de
el	el	mi
valenciano	valenciano	padre
[HS:E1	[HS:E1	se
		[Asent]			[Asent]	empezó
~.	~.	para
		]			]	entender
y	y	toda
la	la	la
familia	familia	acta
de	de	del��도
mi	mi	del
padre	padre
tos	tos
han	han
hablao	hablao
el	el
valenciano	valenciano
~.	~.
