estandar	dialectal	whisper
Sí	Sí	Y
~…	~…	luego,
Luego	Luego	como
como	como	yo
yo	yo	tenía
tenía	tenía	el
~|	~|	grupo
el	el	San
grupo	grupo	Gineo
sanguíneo	sanguíneo	el
el	el	mío,
mío	mío	es
es	es	el
el	el	reachinegativo.
RH	RH	Y
negativo	negativo	si
~,	~,	mi
[HS:E3	[HS:E3	hijo
		[Asent]			[Asent]	se
~.	~.	acababa
		]			]	a
y	y	mi
~,	~,	grupo,
y	y	le
si	si	tenían
mi	mi	que
hijo	hijo	cambiar
sacaba	sacaba	todas
mi	mi	las
grupo	grupo	agres,
le	le	porque
tenían	tenían	si
que	que	no
cambiar	cambiar	podía
toda	toda	ser
la	la	su
sangre	sangre	normal
porque	porque	o
si	si	morirse.
no	no	Pero
podía	podía	había
ser	ser	mucha
subnormal	subnormal	complicación
o	o	en
morirse	morirse	la
~,	~,	tuven
pero	pero	valencia
ent-	ent-	y
~,	~,	cuando
había	había	la
mucha	mucha	analizaba
complicación	complicación	la
y	y	señora
lo	lo	de
tuve	tuve	su
en	en	padre,
Valencia	Valencia	entonces
y	y	era
cuando	cuando	un
lo	lo	pasona.
analizaron	analizaron	Y
la	la	ahora
sangre	sangre	lo
la	la	he
ten-	ten-	visto
~,	~,	que
la	la	guapico
de	de
igua-	igua-
~,	~,
la	la
de	de
su	su
padre	padre
~,	~,
entonces	entonces
no	no
pasó	pasó
na	na
~,	~,
ya	ya
lo	lo
has	has
visto	visto
qué	qué
guapico	guapico
es	es
~,	~,
¿~	¿~
eh	eh
~?	~?
