estandar	dialectal	whisper
¿~	¿~	¿No
Me	Me	lo
lo	lo	cuentas
cuenta	cuenta	usted
usted	usted	mejor?
mejor	mejor	Me
~?	~?	venga
Venga	Venga	así.
sí	sí	Bueno,
~.	~.	venga.
[HS:I2	[HS:I2	Ustedes
		Vamos			Vamos	de
a	a	aquí,
ver	ver	nací
~.	~.	de
		]			]	aquí,
Bueno	Bueno	creyagas
~,	~,	aquí.
venga	venga	Sí,
~.	~.
[A-Crt]	[A-Crt]
¿~	¿~
Usted	Usted
es	es
de	de
aquí	aquí
~,	~,
nacida	nacida
aquí	aquí
~,	~,
criada	criada
aquí	aquí
~…	~…
~?	~?
[HS:I1	[HS:I1
		Sí			Sí
~,	~,
esta	esta
sí	sí
~.	~.
		]			]
[HS:I2	[HS:I2
		Sí			Sí
~.	~.
		]			]
