estandar	dialectal	whisper
claro	claro	En
~.	~.	los
[HS:E1	[HS:E1	colchones
		No			No	que
~,	~,	se
pero	pero	dormían
ustedes	ustedes	normalmente
~…	~…	se
		]			]	hacían
Bueno	Bueno	los
~,	~,	colchones
es	es	una
que	que	vez
en	en	al
los	los	año,
colchones	colchones	de
que	que	cuánto
se	se	se
dormía	dormía	usara
~,	~,	al
normalmente	normalmente
se	se
hacían	hacían
los	los
colchones	colchones
una	una
vez	vez
al	al
año	año
o	o
[HS:E1	[HS:E1
		Sí			Sí
~.	~.
		]			]
dos	dos
veces	veces
al	al
año	año
~,	~,
depende	depende
de	de
~…	~…
~,	~,
de	de
cuánto	cuánto
se	se
usara	usara
el	el
colchón	colchón
~,	~,
¿~	¿~
no	no
~?	~?
