estandar	dialectal	whisper
|T3|	|T3|	Las
Las	Las	gallinas
gallinas	gallinas	pues
~,	~,	comían,
pues	pues	pues
comían	comían	pienso,
pues	pues	como
~…	~…	somos
pienso	pienso	laboradores,
~.	~.	siempre
[HS:E1	[HS:E1	haría
		Ah			Ah	desperdicios
~.	~.	de
		]			]	la
Como	Como	panera
somos	somos	o
labradores	labradores	desperdicios
~,	~,	de
pues	pues	la
siempre	siempre	era,
había	había	que
desperdicios	desperdicios	es
de	de	más
la	la	bien
panera	panera	el
o	o	gran
desperdicios	desperdicios	osuncio,
de	de	digamos,
la	la	pero
era	era	son
~,	~,	las
que	que	gallinas
es	es	o
más	más	la
bien	bien	aprovechaba.
el	el	Y
grano	grano	por
sucio	sucio	eso
~,	~,	las
digamos	digamos	7
~,	~,	ni
[HS:E1	[HS:E1	las
		[Asent]			[Asent]	pasas
~.	~.	de
		]			]
pero	pero
eso	eso
las	las
gallinas	gallinas
lo	lo
aprovechaban	aprovechaban
~,	~,
[HS:E1	[HS:E1
		Claro			Claro
~.	~.
		]			]
y	y
por	por
eso	eso
las	las
he	he
tenío	tenío
hasta	hasta
hace	hace
cuatro	cuatro
años	años
~.	~.
