estandar	dialectal	whisper
Pues	Pues	Pues
unos	unos	uno
jersés	jersés	de
~.	~.	los
[HS:E	[HS:E	jercéis,
		[Asent]			[Asent]	y
~.	~.	ganó
		]			]	un
Y	Y	golpe
ya	ya	ahora
no	no	como
he	he	en
vuelto	vuelto	la
~,	~,	ya
ahora	ahora	se
~,	~,	lo
como	como	compran
ya	ya	y
se	se	el
lo	lo	peor
compran	compran	estáis
~,	~,	cambiando,
y	y	se
ya	ya	lo
está	está	apella
~.	~.	a
Y	Y	tu.
esta	esta	Hacen
hija	hija	un
mía	mía	pulto
se	se	de
lo	lo	marablias,
hace	hace	movanito
ella	ella	los
todo	todo	pulto
~.	~.	y
[HS:E	[HS:E
		[Asent]			[Asent]
~.	~.
		]			]
Hace	Hace
un	un
punto	punto
de	de
maravilla	maravilla
~,	~,
[HS:E	[HS:E
		[Asent]			[Asent]
~.	~.
		]			]
mu	mu
bonitos	bonitos
los	los
puntos	puntos
y	y
todo	todo
~.	~.
