estandar	dialectal	whisper
con	con	Ocena
ceniza	ceniza	de
de	de	los
los	los	sornos,
hornos	hornos	del
~,	~,	paro,
[HS:E1	[HS:E1	del
		¿~			¿~	sornos.
Con	Con	Cuando
ceniza	ceniza	desolinabas,
~?	~?	por
		]			]	ejemplo,
del	del	yo
pan	pan	ahora
~.	~.	vallo
[HS:E1	[HS:E1	de
		¿~			¿~	aquí
Y	Y	esto
cómo	cómo	y
~…	~…	pongo
~?	~?	una
		]			]	data.
De	De	Y
los	los	luego
hornos	hornos	con
~.	~.	esa
Cuando	Cuando	data,
deshollinabas	deshollinabas	si
~,	~,	se
por	por	hacía
ejemplo	ejemplo	la
~,	~,	oveja
yo	yo	a
ahora	ahora	la
rallo	rallo	herida
de	de	aquí,
aquí	aquí	pues
esto	esto	ya
~,	~,	hay
[HS:E1	[HS:E1	más.
		Sí			Sí	Los
~.	~.	chicos
		]			]	que
y	y	andaban
pongo	pongo	es
una	una	que
lata	lata	la
~,	~,	han
[HS:E1	[HS:E1	sido...
		Sí			Sí
~.	~.
		]			]
y	y
~,	~,
pues	pues
luego	luego
con	con
esa	esa
lata	lata
~,	~,
si	si
se	se
hacía	hacía
la	la
oveja	oveja
la	la
herida	herida
aquí	aquí
~,	~,
pues	pues
ya	ya
ibas	ibas
~.	~.
A	A
~…	~…
los	los
chicos	chicos
que	que
andaban	andaban
esquilando	esquilando
~,	~,
dice	dice
~:	~:
«~	«~
~¡~	~¡~
Vamos	Vamos
~!	~!
~»	~»
~.	~.
No	No
te	te
~,	~,
te	te
decían	decían
que	que
decir	decir
na	na
más	más
~:	~:
«~	«~
~¡~	~¡~
Vamos	Vamos
~!	~!
~»	~»
~.	~.
Ya	Ya
estabas	estabas
~,	~,
ponías	ponías
el	el
pegote	pegote
~…	~…
