estandar	dialectal	whisper
[OTRAS-EM]	[OTRAS-EM]	Me
Echamos	Echamos	le
a	a	echamos
~…	~…	a...
pues	pues	Pues
~,	~,	me
me	me	parece
parece	parece	que
que	que	no
es	es	te
~…	~…	lo
no	no	puedo
sé	sé	explicar,
~,	~,	eso
no	no	sí
te	te	quedándolo
lo	lo	sí.
puedo	puedo	Porque
explicar	explicar	yo
~,	~,	pezo
eso	eso	los
sí	sí	kilos
que	que	y
ya	ya	voy
no	no	y
lo	lo	la
sé	sé	rigo
~,	~,	las
porque	porque	muchachas,
yo	yo	20
peso	peso
los	los
kilos	kilos
y	y
voy	voy
~,	~,
y	y
las	las
digo	digo
a	a
las	las
muchachas	muchachas
~:	~:
«~	«~
Veinte	Veinte
kilos	kilos
~»	~»
~.	~.
