estandar	dialectal	whisper
Entonces	Entonces	¿Qué
~,	~,	deberían
[OTRAS-EM]	[OTRAS-EM]	estudiar
¿~	¿~	los
qué	qué	chavales
~,	~,	en
qué	qué	la
deberían	deberían	hegas
estudiar	estudiar	tola
los	los	que
~,	~,	no
los	los	estudian?
chavales	chavales	¿Qué
ahora	ahora	cosas?
en	en	No
la	la	sé
ikastola	ikastola	lo
que	que	que
no	no	me
estudien	estudien	líneo
~?	~?	no
¿~	¿~	se
Qué	Qué	manda
cosas	cosas
[HS:I	[HS:I
		~¡~			~¡~
Ay	Ay
~!	~!
No	No
sé	sé
lo	lo
que	que
estudien	estudien
~,	~,
yo	yo
no	no
les	les
he	he
mandao	mandao
		]			]
echas	echas
tú	tú
de	de
menos	menos
~?	~?
¿~	¿~
No	No
sabes	sabes
~?	~?
