estandar	dialectal	whisper
La	La	en
mazorca	mazorca	la
del	del	mazorca
maíz	maíz	del
~.	~.	maíz.
Eso	Eso	Eso
viene	viene	viene
con	con	con
la	la	la
rama	rama	rama
y	y	y
todo	todo	todo,
~,	~,	¿no?
¿~	¿~	Pues
no	no	aquello
~?	~?	como
Pues	Pues	que
aquello	aquello	le
cómo	cómo	quitábamos
~,	~,	aquello
cómo	cómo	y
le	le	dejábamos
quitábamos	quitábamos	los
aquello	aquello	estos.
y	y	Y
~,	~,	los
y	y	abuelos,
dejábamos	dejábamos	mientras
los	los	ese
estos	estos	trabajo
y	y	haciamos
los	los	y
abuelos	abuelos	nosotros
mientras	mientras	también
ese	ese	con
trabajo	trabajo	él,
hacíamos	hacíamos	los
y	y	abuelos
nosotros	nosotros	cantaban
también	también	unos
con	con	versos
ellos	ellos	y
allí	allí	cantaban
~,	~,	de
los	los	bien.
abuelos	abuelos	Fíjate
cantaban	cantaban	después
unos	unos	de
versos	versos	trabajar
~…	~…	tanto,
y	y	yo
cantaban	cantaban	creo
de	de	tantos
bien	bien	hijos.
~…	~…	Mira,
Fíjate	Fíjate	era
~,	~,	un
después	después	ambiente
de	de	fantástico,
trabajar	trabajar	eso
tanto	tanto	tengo
y	y	muy
criar	criar	rabo.
tantos	tantos	Cantaban
hijos	hijos	maravilloso
~,	~,	a
¿~	¿~	mi
eh	eh
~?	~?
~,	~,
y	y
mira	mira
~,	~,
era	era
un	un
ambiente	ambiente
fantástico	fantástico
~,	~,
eso	eso
tengo	tengo
muy	muy
grabao	grabao
yo	yo
~.	~.
Cantaban	Cantaban
ma-	ma-
~,	~,
maravillosamente	maravillosamente
bien	bien
~.	~.
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Sí	Sí
~…	~…
