estandar	dialectal	whisper
Na	Na	No,
más	más	además,
que	que	ya
saltar	saltar	es
en	en	alta
la	la	la
cuerda	cuerda	recuerda,
~,	~,	con
con	con	la
la	la	recuerda
cuerda	cuerda	nada
~,	~,	más
nada	nada	y
más	más	ascondites
~,	~,	y
[PS]	[PS]	nada
y	y	más.
a	a	No
escondites	escondites	sé
~,	~,	que
y	y	lo
na	na	da
más	más	otra
~.	~.	cosa.
[RISA]	[RISA]	Y
No	No	también
se	se	sí
jugaba	jugaba	con
a	a	esto,
otra	otra	con
cosa	cosa	un
~.	~.	mapeo
Y	Y	también
también	también	de
~,	~,	ese
sí	sí	juego,
~,	~,	no
con	con	sé
uno	uno	cómo
~…	~…	se
~,	~,	hacía,
con	con	Hemos
esto	esto	de
~,	~,	ser
con	con	batido
una	una	a
piedra	piedra	instrumentar
también	también	taxes
se	se	que
jugaba	jugaba	hablan
~,	~,	para
no	no	render劓ir
sé	sé	su
cómo	cómo	padre
se	se	tan
hacía	hacía	그리고
~,	~,
en	en
el	el
suelo	suelo
~,	~,
no	no
sé	sé
~,	~,
no	no
me	me
acuerdo	acuerdo
del	del
nombre	nombre
~.	~.
