estandar	dialectal	whisper
Yo	Yo	Yo
creo	creo	creo
que	que	que
todos	todos	todos
~,	~,	los
todos	todos	han
han	han	sabido
sabido	sabido	en
en	en	nuestros
nue-	nue-	pueblos,
~,	~,	al
en	en	menos
nuestros	nuestros	pocos,
pueblos	pueblos	pocos
~,	~,	hay
al	al	que
menos	menos	no
~,	~,	suplirse
pocos	pocos	en
~,	~,	la
pocos	pocos	edición,
hay	hay	pero
que	que	aún
no	no	así
supiesen	supiesen	a
leer	leer	esa
y	y	ciudad
escribir	escribir	ya
~,	~,	se
¿~	¿~	empezaba
eh	eh	a
~?	~?	ir
Pero	Pero	a
aun	aun	la
así	así	mar.
a	a	tot
esas	esas	lo
edades	edades	간단ario
ya	ya	que
se	se	haguen
empezaba	empezaba	probando
a	a	surveJessica,
~,	~,	que
a	a	quietaron
ir	ir	así
a	a	a
la	la
mar	mar
~,	~,
ya	ya
se	se
empezaba	empezaba
~.	~.
