estandar	dialectal	whisper
Usted	Usted	enああ
ya	ya	cuando
~,	~,	se
cuando	cuando	casó
se	se	pues
casó	casó	como
~…	~…	era
pues	pues	como
no	no	si
sé	sé	pedían
~…	~…	con
¿~	¿~	la
cómo	cómo	vía
~,	~,	tradición
cómo	cómo	de
era	era
~…	~…
~?	~?
¿~	¿~
Cómo	Cómo
se	se
pedía	pedía
la	la
mano	mano
de	de
la	la
chica	chica
o	o
cómo	cómo
~…	~…
~?	~?
Por	Por
ejemplo	ejemplo
~,	~,
¿~	¿~
había	había
tradición	tradición
de	de
ir	ir
a	a
pedir	pedir
a	a
la	la
~…	~…
novia	novia
al	al
padre	padre
de	de
la	la
novia	novia
o	o
~…	~…
~?	~?
