estandar	dialectal	whisper
Treinta	Treinta
~…	~…
treinta_y_ocho	treinta_y_ocho
años	años
que	que
nos	nos
casamos	casamos
~,	~,
ya	ya
~.	~.
En	En
el	el
53	53
~.	~.
[A-PIn:	[A-PIn:
		Parece			Parece
que	que
fueron	fueron
		]			]
treinta_y_ocho	treinta_y_ocho
que	que
nos	nos
casamos	casamos
ya	ya
~,	~,
pero	pero
entonces	entonces
la	la
conocí	conocí
entonces	entonces
había	había
baile	baile
~,	~,
[V-Sml]	[V-Sml]
aquí	aquí
había	había
baile	baile
[A-Inn]	[A-Inn]
tres	tres
y	y
cuatro	cuatro
bailes	bailes
todavía	todavía
[A-Inn]	[A-Inn]
~.	~.
