estandar	dialectal	whisper
Uy	Uy	¡Ush!
~,	~,	¡No
cómo	cómo	movirá
era	era	bien!
~,	~,	Salían
dice	dice	más
~.	~.	bonitos
Salían	Salían	que
más	más	nos
bonitos	bonitos	decían
que	que	a
no	no	postúdoras
sé	sé	para
qué	qué	un
me	me	mejor
[A-PIn:	[A-PIn:	encerrar,
		diera			diera	por
~.	~.	ejemplo,
		]			]	40-50
Pues	Pues	carros
tú	tú	que
verás	verás	con
pa	pa	los
~,	~,	carros
pa	pa	y
~,	~,	también
a	a	tenían
lo	lo	una
mejor	mejor	red
~,	~,	de
encerrar	encerrar	los
~,	~,	carros
por	por	esos
ejemplo	ejemplo	y
~,	~,	unas
cuarenta	cuarenta	células
o	o	donde
cincuenta	cincuenta	llenaban
carros	carros	a
~,	~,	esta
que	que	arriba
con	con	y
los	los	otra
carros	carros	aquí
~,	~,	le
y	y	garraban
también	también	entonces
tenían	tenían	aquello
una	una	lo
red	rede	llenaba
~,	~,	y
pa	pa	venían
los	los	mayorada
carros	carros	de
esos	esos	escarbar
~,	~,	y
y	y	los
unas	unas	otros
teleras	teleras	que
~,	~,	se
por	por	ha
donde	donde	venado
llenaban	llenaban	en
hasta	hasta	el
arriba	arriba	enar
y	y	un
~,	~,	pajar
y	y	y
otra	otra	uno
que	que	vendaba
llegaba	llegaba	y
abajo	abajo	no
~.	~.	lleva
Entonces	Entonces	vendando
aquello	aquello	hasta
lo	lo	los
llenaban	llenaban	pajares,
y	y	todos
venía	venía	los
el	el	pajares,
mayoral	mayoral	se
a	a	ha
descargar	descargar	gerado
~,	~,	tuveras,
y	y	pues
los	los	para
otros	otros	tres
pues	pues	parejas
a	a	que
llenar	llenar	tenían
~,	~,	y
a	a	la
llenar	llenar	lumbre
el	el	y
pajar	pajar	entonces
~.	~.	cerraron
Y	Y
uno	uno
bendaba	bendaba
~,	~,
y	y
el	el
otro	otro
iba	iba
bendando	bendando
pa	pa
los	los
pajares	pajares
~,	~,
porque	porque
eran	eran
unos	unos
pajares	pajares
~,	~,
pues	pues
exageraos	exageraos
~,	~,
tú	tú
verás	verás
~,	~,
pues	pues
pa	pa
tres	tres
parejas	parejas
que	que
tenían	tenían
~,	~,
y	y
la	la
lumbre	lumbre
~,	~,
que	que
entonces	entonces
era	era
la	la
lumbre	lumbre
baja	baja
~.	~.
