estandar	dialectal	whisper
O	O	como
porque	porque	se
fuera	fuera	cuerdan
el	el	a
padre	padre	ver
de	de	en
mi	mi	mujeres.
mujer	mujer	Era
~.	~.	un
Era	Era	destor
un	un	de
hombre	hombre	medio
extraordinario	extraordinario	trabajador,
trabajador	trabajador	se
~.	~.	casó
Se	Se	y
casó	casó	no
y	y	tenían
no	no	nada.
tenían	tenían	Macho
nada	nada	a
~.	~.	Buenos
Marchó	Marchó	Aires.
a	a	Mi
Buenos_Aires	Buenos_Aires	mujer
~.	~.	matió
Mi	Mi	mientras
mujer	mujer	se
nació	nació	era
~,	~,	con
mientras	mientras	los
él	él	aires,
a	a	que
Buenos_Aires	Buenos_Aires	mi
~,	~,	mujer
que	que	hizo
mi	mi	81
mujer	mujer	años
hizo	hizo	el
ochenta_y_un	ochenta_y_un	día
año	año	del
el	el	21
día	día	de
venti-	venti-	pebler
~,	~,	y
ventiuno	ventiuno	eso
de	de	es
febrero	febrero	101
~,	~,	años.
hizo	hizo	Y
ochenta_y_un	ochenta_y_un	cuando
año	año	las
~,	~,	llumas
y	y	fueron
cuando	cuando	los
nació	nació	aires,
~,	~,	entonces
mi	mi	trajan
suegro	suegro	unas
estaba	estaba	pesetas
a	a	y
Buenos_Aires	Buenos_Aires	puso
~.	~.	su
Entonces	Entonces	labor.
trajo	trajo	Con
unas	unas	tierras
pesetas	pesetas	de
~,	~,	rentas,
y	y	un
puso	puso	trabajador,
su	su	un
labor	labor	trabajador,
~.	~.	un
Con	Con	trabajador
~,	~,	compró
con	con	fincas
tierras	tierras	de
de	de	una
renta	renta	hejuela
~.	~.	de
		enriquezada
Un	Un	de
trabajador	trabajador	la
~,	~,	compuesta.
un	un	Después
trabajador	trabajador	de
~,	~,	que
un	un	a
trabajador	trabajador	Flavio
~.	~.	he
		]			]	ido
Des	Des	a
~|	~|	comer
compró	compró	a
fincas	fincas	Salamanca
~,	~,	y
las	las	ahora
~|	~|	estén
una	una	en
hijuela	hijuela	5
~,	~,	meses
de	de	después
mi	mi	de
tía	tía	la
		iniciativa
Anonimizado	Anonimizado	de
		Salamanca
~,	~,	le
del	del	compró,
bar	bar	le
~,	~,	contamos.
se	se	Y
la	la	contamos,
compró	compró	100,
él	él	143
~.	~.	maneras
[HS:I2	[HS:I2	de
		[Asent]			[Asent]	pieza
~.	~.	contas.
		]			]	Nos
Después	Después	las
de	de	partió
casao	casao	como
yo	yo	si
~,	~,	ya
he	he	comprábamos
ido	ido	los
con	con	hijos,
él	él	ya
a	a	estábamos
Salamanca	Salamanca	casados
y	y	y
~,	~,	como
a	a	si
don_Esteban_Jiménez	don_Esteban_Jiménez	ya
~,	~,	comprábamos
el	el	los
rector	rector	hijos,
de	de	nos
la	la	hizo
universidad	universidad	más.
de	de	De
Salamanca	Salamanca	lo
~,	~,	que
le	le	tenía,
compró	compró	los
~|	~|	hijos
le	le	y
compramos	compramos	aquello
[PS]	[PS]	ya
ciento	ciento	conocen
~,	~,	un
[PS]	[PS]	trabajador.
ciento_cuarenta_y_tres	ciento_cuarenta_y_tres	Pero
fanegas	fanegas	como
de	de	venía
tierra	tierra	yo,
juntas	juntas	mandí
~,	~,	un
que	que	burro
nos	nos	trabajador
las	las	y
partió	partió	de
como	como	aquel
si	si	trabajo,
ya	ya	eso
compráramos	compráramos	mucho
los	los	generó.
hijos	hijos	Y
~,	~,	cuando
ya	ya	llevaba
estábamos	estábamos	siempre
casaos	casaos	el
todos	todos	trigo,
~.	~.	no
[R-Ind]	[R-Ind]	sé
Y	Y	si
como	como	hoy
si	si	días
ya	ya	en
compráramos	compráramos	el
los	los	conterrobanones,
hijos	hijos	que
~,	~,	era
que	que	de
nos	nos	Salamanca
hizo	hizo	y
las	las	tenía,
~,	~,	allí
las	las	tiene.
hijuelas	hijuelas	Y
~.	~.	cuando
De	De	fui
lo	lo	yo
que	que	con
tenía	tenía	él
~,	~,	que
nos	nos	me
hizo	hizo	llevó
las	las	a
hijuelas	hijuelas	comprar
y	y	más
aquello	aquello	dinero,
[R-Inf]	[R-Inf]	así
ya	ya	que
como	como	no
si	si	se
compráramos	compráramos	había
nosotros	nosotros	desnistir
~.	~.	bien.
Pero	Pero	Un
~…	~…	trabajador
[OTRAS-EM]	[OTRAS-EM]	del
¿~	¿~	campo
cómo	cómo	que
diría	diría	hizo
yo	yo	un
~?	~?	trabajo,
Es	Es	pero
~,	~,	que
mal	mal	era
dicho	dicho	un
~,	~,	timbilo
un	un	en
burro	burro	el
trabajador	trabajador	trabajo,
~.	~.	no
[HS:I2	[HS:I2	sé
		[Asent]			[Asent]	si
~.	~.	había
		]			]	desnistir
Y	Y	bien,
de	de	pero
aquel	aquel	no
trabajo	trabajo	se
~,	~,	había
de	de	desnistir
aquel	aquel	bien.
trabajo	trabajo	Y
~,	~,	fue
pues	pues	de
~…	~…	su
[HS:E2	[HS:E2	trabajo,
		[Asent]			[Asent]	de
~.	~.	capital
		]			]	y
hizo	hizo	todo
mucho	mucho	se
dinero	dinero	dinero
~.	~.	y
Le	Le	a
llevaba	llevaba	lo
siempre	siempre	que
el	el	fuimos,
trigo	trigo	tuvimos
~,	~,	que
no	no	ir
sé	sé	y
si	si	salen
o-	o-	mucho
~,	~,	de
oirías	oirías	maldense.
decir	decir	Porque
al	al	estamos
~,	~,	mas
al	al	cerca
conde	conde	y
Romanones	Romanones	también
[HS:E2	[HS:E2	vamos
		Sí			Sí	a
~.	~.	buscar
		]			]	el
que	que	dinero,
era	era	salimos
de	de	de
Salamanca	Salamanca	ahí
~,	~,	por
y	y	buscar
él	él	dinero
tenía	tenía	como
allí	allí	cartón
el	el	a
dinero	dinero	chicos.
~.	~.	Teníamos
Y	Y	básicamente
cuando	cuando	sido
fui	fui	leuripera
yo	yo	cuando
con	con	était
él	él	hago
~,	~,	Condertario
que	que	y
me	me	digo
llevó	llevó	How
a	a	Acho
mí	mí	este
para	para	era
comprar	comprar	un
las	las	tanto
tierras	tierras	dinero.
y	y	Y
pagarlas	pagarlas	ese
~,	~,	dinero
pues	pues	trasapamos
que	que	y
no	no	usted
sabía	sabía	spare
leer	leer	lo
ni	ni	que
escribir	escribir	he
~.	~.	metido
		conenarledos.
Como	Como	Y
un	un	no
~,	~,	Henycho
un	un	Sevoro,
trabajador	trabajador	Because
del	del	of
campo	campo	Fang,
~,	~,	fuel,
que	que	Najable.
hizo	hizo	Pues
de	de	en
su	su	las
trabajo	trabajo	cosas,
~,	~,	mi
		]			]	espresso
claro	claro	¡
~,	~,	battle!
que	que	Vamos
era	era	a
entendido	entendido	senateura.
en	en	Vamos
el	el	a
trabajo	trabajo	hablar
~,	~,	cuando000
no	no	ganas
sabía	sabía	intelligence
leer	leer	backs
ni	ni	de
escribir	escribir	nuevo
~,	~,	H
[HS:E1	[HS:E1	época
		[Asent]			[Asent]	por
~.	~.	3ximolas
		]			]	de
pero	pero
era	era
entendido	entendido
[HS:I2	[HS:I2
		[A-Inn]			[A-Inn]
		]			]
en	en
el	el
trabajo	trabajo
~.	~.
Y	Y
hizo	hizo
de	de
su	su
trabajo	trabajo
todo	todo
ese	ese
capital	capital
y	y
todo	todo
ese	ese
dinero	dinero
~,	~,
y	y
me	me
acuerdo	acuerdo
que	que
fuim-	fuim-
~,	~,
tuvimos	tuvimos
que	que
ir	ir
y	y
se	se
alegró	alegró
mucho	mucho
de	de
llevarme	llevarme
a	a
mí	mí
porque	porque
~…	~…
	
ajustamos	ajustamos
las	las
tierras	tierras
~,	~,
y	y
~…	~…
dice	dice
~,	~,
vamos	vamos
a	a
buscar	buscar
el	el
dinero	dinero
~.	~.
Y	Y
salimos	salimos
de	de
allí	allí
pa	pa
buscar	buscar
el	el
dinero	dinero
para	para
pagarlas	pagarlas
y	y
digo	digo
~:	~:
«~	«~
No	No
hombre	hombre
~»	~»
~.	~.
Teníamos	Teníamos
que	que
venir	venir
a	a
hacer	hacer
la	la
escritura	escritura
a	a
Fuentesauco	Fuentesauco
al	al
notario	notario
~.	~.
~]	~]
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
Y	Y
digo	digo
~:	~:
«~	«~
No	No
~,	~,
hombre	hombre
~.	~.
S'ha	S'ha
ajustao	ajustao
el	el
