estandar	dialectal	whisper
Tiene	Tiene	Y
estos	estos	que
tres	tres	no
hijos	hijos	es
~.	~.	interés,
[HS:E1	[HS:E1	¿eh?
		Uy			Uy	¿Qué
~,	~,	pasa?
qué	qué	¿Qué
majos	majos	pasa?
los	los	¿Qué
[A-Inn]	[A-Inn]	pasa?
		]			]	¿Qué
Esa	Esa	pasa?
es	es	¿Qué
la	la	pasa?
que	que	¿Qué
está	está	pasa?
de	de	¿Qué
maestra	maestra
~.	~.
Se	Se
llama	llama
	
Anonimizado	Anonimizado
	
~,	~,
se	se
llamaba	llamaba
mi	mi
madre	madre
	
Anonimizado	Anonimizado
	
~.	~.
¿~	¿~
Han	Han
oído	oído
ustedes	ustedes
el	el
nombre	nombre
[HS:I3	[HS:I3
		Esto			Esto
va	va
a	a
		]			]
alguna	alguna
vez	vez
~?	~?
