estandar	dialectal	whisper
No	No	No,
~,	~,	esa
ese	ese	era
la	la	el
~,	~,	lunto.
era	era	Entonces
el	el	antes
unto	unto	aquí,
~.	~.	cuando
Entonces	Entonces	cías
antes	antes	caldo,
aquí	aquí	pues
~,	~,	le
cuando	cuando	echaba
hacías	hacías	para
caldo	caldo	un
~,	~,	asau,
pues	pus	le
se	se	voluntabas
l'echaba	l'echaba	con
pa	pa	el
un	un	lunto,
asado	asao	oye,
~.	~.	el
Le	Le	lunto
~,	~,	tiene
lo	lo	otros
untabas	untabas	ador.
con	con	Y
el	el	luego
unto	unto	se
~.	~.	los
Oy	Oy	acaban
~,	~,	más
el	el	tritas
unto	unto	y
tiene	tiene	había
otro	otro	que
sabor	sabor	echar
~…	~…	de
Y	Y	las
luego	luego	menúas.
se	se	Había
le	le	que
sacaban	sacaban	entender
las	las	también,
tripas	tripas	entre
y	y	dos.
había	había	Una
que	que	iba
echar	echar	agarrando
de	de	y
~,	~,	la
las	las	otra
menudas	menudas	iba
~|	~|	echando
había	había	y
que	que	echando
entender	entender	y
también	tamién	echando
~|	~|	y
entre	entre	echando.
dos	dos	Y
~:	~:	quedaba
una	una	luego
iba	iba	la
agarrando	agarrando	trita
y	y	al
la	la	limpia,
otra	otra	pa'
iba	iba	un
echando	echando	lado,
~,	~,	palabarla
echando	echando	en
~,	~,	el
echando	echando	río.
y	y	Y
quedaban	quedaban	lo
luego	luego	que
la	la	va
tripa	tripa	han
limpia	limpia	vuelto,
~.	~.	que
Pa	Pa	es
un	un	manteca,
lao	lao	en
~,	~,	la
pa	pa	que
lavarla	lavarla	daba
en	en	su
el	el	alto
río	río	palo
y	y	de
~…	~…	sacerlo.
~,	~,	Y
y	y	luego
lo	lo	hay
que	que	otra
va	va	trita
envuelto	envuelto	que
~,	~,	tiene
que	que	margorda.
es	es	La
manteca	manteca	del
~,	~,	culo
en	en	se
la	la	usaba
~…	~…	para
~,	~,	hacer
quedaba	quedaba	estas
suelto	suelto	barras,
pa	pa	que
luego	luego	haya
deshacerlo	deshacerlo	vendido.
~.	~.	Esa
Y	Y	se
luego	luego	les
hay	hay	gustaba,
otra	otra	le
tripa	tripa	se
que	que	le
tiene	tiene	llamaba
más	más	la
gorda	gorda	trita
~,	~,	al
la	la	culo.
del	del	Oye,
culo	culo	esa
~,	~,	había
se	se	que
~…	~…	tener
se	se	mucho
usaba	usaba	cuidado,
pa	pa	esa
hacer	hacer	trita.
~…	~…	Y
estas	estas	hasta
barras	barras	que
~,	~,	valía.
qu'hay	qu'hay	Luego
a	a	ahí
vender	vender	se
~,	~,	les
esas	esas	acaba
son	son	otro
las	las	poco
que	que	de
se	se	grasa.
usaban	usaban	Entonces
~,	~,	esa
se	se	grasa.
le	le	Esa
llamaba	llamaba	grasa
la	la	de
tripa	tripa	las
el	el	tritas
culo	culo	y
~.	~.	la
Oy	Oy	que
~,	~,	se
esa	esa	le
había	había	quitaba
que	que	a
tener	tener	la
mucho	mucho	ballada
cuidado	cuidao	se
~,	~,	desacía.
esa	esa	Y
tripa	tripa	ya
~.	~.	era
Y	Y	la
