estandar	dialectal	whisper
Y	Y	y
tocaban	tocaban	tocaban
~,	~,	todos
eh	eh	días,
~,	~,	allí
todos	todos	en
días	días	la
allí	allí	verbena,
en	en	y
la	la	se
verbena	verbena	cerraban
y	y	un
cea-	cea-	culo
~,	~,	para
ce-	ce-	que
~,	~,	le
cerraban	cerraban	demana
un	un	la
corro	corro	verbena
para	pa	para
~|	~|	sacar
que	que	perras,
le	le	que
llaman	llaman	si
la	la	tocaban
verbena	verbena	la
para	pa	plaza
~…	~…	nos
~,	~,	podaban
para	pa	unar,
sacar	sacar	¿no?
perras	perras	¿Entiendes?
~,	~,	Y
que	que	como
si	si	venía
tocaban	tocaban	mucho
en	en	de
la	la	cobo
plaza	plaza	y
no	no	otros
pagábamos	pagábamos	pueblos
nada	na	y
~,	~,	aquí
[HS:E1	[HS:E1	también
		Ya			Ya	me
~.	~.	dejó
		]			]	bajar
¿~	¿~	mucho,
me	me	la
entiendes	entiendes	manería
lo	lo	pues,
que	que	que
te	te	quería
~…	~…	entrar,
~?	~?	tenía
Y	Y	que
como	como	entrar
venían	venían	en
muchos	muchos	verna
de	de	y
Codo	Codo	pagar
y	y	en
de	de	trabajo.
otros	otros	Coast
pueblos	pueblos	cool,ıyla,
~,	~,	voy
y	y	a
de	de	ir
aquí	aquí	y
también	también	cyclés
[A-Inn]	[A-Inn]	como
muchos	muchos	esp
~,	~,
de	de
Almonacid	Almonacid
~,	~,
pues	pues
el	el
que	que
quería	quería
entrar	entrar
~,	~,
tenía	tenía
que	que
entrar	entrar
en	en
la	la
verbena	verbena
y	y
pagar	pagar
entrada	entrada
~.	~.
[HS:E1	[HS:E1
		Ya			Ya
~.	~.
		]			]
[A-PIn:	[A-PIn:
		Así			Así
~,	~,
¿~	¿~
qué	qué
te	te
parece	paece
~?	~?
~,	~,
		]			]
había	había
que	que
especular	especular
~.	~.
[RISA]	[RISA]
