estandar	dialectal	whisper
aquí	aquí	Y
~,	~,	aquí
aquí	aquí	lo
lo	lo	masabamos
amasábamos	masabámos	la
la	la	masa
masa	masa	con
como	como	buen
el	el	pan.
pan	pan	Ah,
y	y	la
la	la	meriamés
[HS:E3	[HS:E3	las
		~¡~			~¡~	culecas,
Ah	Ah	pamete
~!	~!	la
[A-Inn]	[A-Inn]	salud,
		]			]	pero
[A-PIn:	[A-PIn:	nosotros
		freíamos			fríamos	cada
		]			]	una
las	las	mas
culecas	culecas	diria,
~,	~,	la
para	pa	que
meterlas	metelas	les
al	al	he
horno	horno	caído
pero	pero	en
nosotras	nosotras	cosas
~,	~,	buenas,
cada	cada	buena
una	una	masataba.
las	las	Pero
de	de	podás
ella	ella	procurarmos
~,	~,	cuando
la	la	nos
que	que	poníamos
les	les	a
echaba	echaba	hacer
cosas	cosas	una
buenas	buenas	pesa,
~,	~,	pues,
buenas	buenas	de
las	las	chalón
sacaba	sacaba	mejor
~,	~,	que
pero	pero	podíamos,
todas	todas	pero
procurábamos	procurabámos	siempre
cuando	cuando	hay
nos	nos	quien
poníamos	poníamos	quiere
a	a	que
hacer	hacer	juntan
una	una	mas
cosa	cosa	las
pues	pues	cosas
~,	~,	y
eh	eh	en
~,	~,	tan
eh	eh	menos,
~,	~,	o
de	de	pueden
echar	echar	menos,
lo	lo	pero,
mejor	mejor	es
que	que	así
podíamos	podiámos	vivíamos
~,	~,	antes.
pero	pero	Y
siempre	siempre	nosotros
hay	hay	aún
quien	quien	vivimos,
quiere	quiere	solo
que	que	que
cundan	cundan	el
más	más	pan,
las	las	pues
cosas	cosas	no
y	y	hay
echan	echan	horno.
menos	menos	No
o	o	hay
pueden	pueden	horno,
menos	menos	pero
~,	~,	hasta
pero	pero	hace
[A-PIn:	[A-PIn:	pocos
		esta			esta	años
		]			]	que
~|	~|	ahí
así	así	está
vivíamos	viviámos	la
antes	antes	vida
~,	~,	abizornos
[HS:E3	[HS:E3	y
		¿~			¿~	llegada
Y	Y	que
qué	qué	él
fiestas	fiestas	hacía
~…	~…	el
~?	~?	pan,
		]			]	porque
y	y	ya
nosotros	nosotros	no
aún	aún	nos
vivimos	vivimos	dejaban
~,	~,	masal,
solo	solo	pero
		ahora,
que	que	o
el	el	sea,
pan	pan	por
~,	~,	tortas
pues	pues	y
no	no	madalenas,
hay	hay	bien,
horno	horno	eso
~,	~,	nos
no	no
hay	hay
horno	horno
~,	~,
pero	pero
hasta	hasta
hace	hace
poco	poco
años	años
~,	~,
que	que
ahí	ahí
está	está
la	la
	
Anonimizado	Anonimizado
	
~,	~,
ha	ha
habido	habido
horno	horno
y	y
llegaba	llegaba
que	que
él	él
hacía	hacía
el	el
pan	pan
porque	porque
ya	ya
no	no
nos	nos
dejaban	dejaban
masar	masar
~,	~,
pero	pero
ahora	ahora
~,	~,
eh	eh
~|	~|
o	o
sea	sea
que	que
tor-	tor-
~,	~,
tortas	tortas
y	y
madalenas	madalenas
y	y
eso	eso
nos	nos
dejaban	dejaban
~.	~.
