estandar	dialectal	whisper
Ahora	Ahora	Ahora
~,	~,	que
claro	claro	ahora
~,	~,	aquí
hay	hay	en
quien	quien	el
le	le	peces
parece	paice	poco
poco	poco	es
~,	~,	natural,
~¡~	~¡~	claro,
es	es	si
natural	natural	yo
~!	~!	lo
~¡~	~¡~	que
Claro	Claro	me
~!	~!	ten
Si	Si	cobros
yo	yo	es
lo	lo	de
que	que	100%
meten	meten	sin
~|	~|	cero
Cobro	Cobro	de
setecientos_quince	setecientos_quince	euros
euros	euros	de
de	de	pensión.
pensión	pensión	Si
~.	~.	me
Si	Si	peces
me	me	de
parece	paece	que
que	que	es
es	es	poco,
poco	poco	pues
~,	~,	claro,
pues	pues	te
claro	claro	diré
~,	~,	que
pues	pues	sí,
dirás	dirás	pero
tú	tú	si
que	que	he
e-	e-	hecho
~,	~,	cuenta
que	que	algo,
es	es	pues
que	que	si
~|	~|	me
Pero	Pero	caí
si	si	en
echo	echo	Amito
cuentas	cuentas	varias
~,	~,	maras
digo	digo	de
~|	~|	tres
[A-Inn]	[A-Inn]	milquetas
~¡~	~¡~	cada
pues	pues	día,
si	si	uno
me	me	viejo,
caen	caen	ahora
a	a	que
mi	mi	ahora
todos	tos	sí
los	los	tuvieras
días	días	que
más	más	pagar
de	de	un
tres_mil	tres_mil	piso,
pesetas	pesetas	pero
cada	cada	si
día	día	uno
~!	~!	ha
~¡~	~¡~	llegado
Uno	Uno	a
viejo	viejo	65
~!	~!	años
Ahora	Ahora	y
claro	claro	no
~,	~,	ha
si	si	podido
tuvieras	tuvieras	hacerme
que	que	a
pagar	pagar	jica
un	un	casa,
piso	piso	porque
~…	~…	el
Pero	Pero	paio
~,	~,	tiene
oye	oye	enfermedades
~,	~,	y
si	si	mil
uno	uno	cosas,
ha	ha	claro,
llegado	llegado	de
a	a	todo
sesenta_y_cinco	sesenta_y_cinco	ahí,
años	años	pero
y	y	en
no	no	conjunto
ha	ha	bien,
podido	poído	todo.
hacer	hacer	Este
miajica	miajica	este,
casa	casa	este
~,	~,	este,
porque	porque	este,
ha	ha	primero
podido	poído	que
tener	tener	ahí
enfermedades	enfermedades	está,
y	y	también
mil	mil	está
cosas	cosas	malico,
~|	~|	este
Claro	Claro	tampoco
~,	~,	te
de	de	dijeron
todo	todo	nunca
hay	hay	en
~|	~|	el
Pero	Pero	trabajo,
en	en	pero
conjunto	conjunto	cobrás.
bien	bien	Este
~,	~,	es
oye	oye	la
~,	~,	gaya
todos	todos	de
~.	~.
¿~	¿~
Ves	Ves
~?	~?
Este	Este
~,	~,
este	este
chico	chico
que	que
hay	hay
aquí	aquí
~,	~,
este	este
también	también
~,	~,
este	este
es	es
~|	~|
primero	primero
que	que
hay	hay
está	está
~|	~|
También	También
está	está
ma-	ma-
~,	~,
malico	malico
~,	~,
este	este
tampoco	tampoco
cotizó	cotizó
nunca	nunca
~,	~,
no	no
trabajó	trabajó
~.	~.
~¡~	~¡~
Pero	Pero
cobra	cobra
~!	~!
Ese	Ese
	
Anonimizado	Anonimizado
	
~…	~…
[PS]	[PS]
Este	Este
de	de
la	la
gayata	gayata
~.	~.
