estandar	dialectal	whisper
Y	Y	Y
luego	luego	luego
si	si	si
~,	~,	por
por	por	ejemplo
ejemplo	ejemplo	un
~,	~,	chico
un	un	de
chico	chico	una
y	y	chica
una	una	se
chica	chica	gustaban,
se	se	luego
gustaban	gustaban	salían
~,	~,	por
¿~	¿~	el
luego	luego	pueblo.
salían	salían	Sí,
por	por	sí,
el	el	sí,
pueblo	pueblo	sí,
~?	~?	sí,
[HS:I1	[HS:I1	sí,
		Sí			Sí	por
~,	~,	la
sí	sí	carretera.
~,	~,	Bueno
sí	sí	y
~,	~,	por
sí	sí	acá
~,	~,	no.
sí	sí	Claro,
~,	~,	sí.
sí	sí	Por
~,	~,	el
sí	sí	pueblo
~.	~.	no,
Daban	Daban
paseos	paseos
~…	~…
y	y
por	por
la	la
carretera	carretera
~.	~.
		]			]
¿~	¿~
Daban	Daban
paseos	paseos
por	por
el	el
pueblo	pueblo
~?	~?
Bueno	Bueno
~,	~,
y	y
por	por
la	la
carretera	carretera
~.	~.
[RISA]	[RISA]
[HS:I1	[HS:I1
		Claro			Claro
~,	~,
sí	sí
~,	~,
por	por
el	el
pueblo	pueblo
no	no
~,	~,
		]			]
~¡~	~¡~
Por	Por
más	más
allá	allá
del	del
pueblo	pueblo
~!	~!
