estandar	dialectal	whisper
Ay	Ay	Ah,
~,	~,	ya
[HS:E1	[HS:E1	había
		[A-Inn]			[A-Inn]	aquí,
familias	familias	aquí
~…	~…	había
		]			]	vozas
había	había	muy
aquí	aquí	graciosas,
~,	~,	había
aquí	aquí	vozas
había	había	una
bodas	bodas	se
muy	muy	casó,
graciosas	graciosas	una
~…	~…	tía
~,	~,	mía,
había	había	y
bodas	bodas	cuando
~…	~…	se
Una	Una	casó,
se	se	salió
casó	casó	a
~,	~,	la
una	una	puerta
tía	tía	de
mía	mía	la
~.	~.	iglesia
Eh	Eh	y
~…	~…	allá
~,	~,	cuando
y	y	se
~,	~,	había
cuando	cuando	casado,
se	se	y
casó	casó	le
~,	~,	dijo
salió	salió	al...
a	a	Ah,
la	la	muy
puerta	puerta	sé
de	de	el
la	la	que
iglesia	iglesia	era
~,	~,	su
ya	ya	marido.
cuando	cuando	¡Rediós,
se	se	que
había	había	ganas
casado	casao	de
y	y	ni
le	le	decójete!
dijo	dijo
al	al
~…	~…
~,	~,
vamos	vamos
~,	~,
el	el
que	que
era	era
su	su
marido	marido
~:	~:
«~	«~
~¡~	~¡~
Rediós	Rediós
~,	~,
qué	qué
ganas	ganas
tenía	tenía
de	de
cogerte	cogete
~!	~!
~»	~»
~.	~.
[RISAS]	[RISAS]
