estandar	dialectal	whisper
|T15|	|T15|	¿Cuándo
Muy	Muy	son
bien	bien	las
~.	~.	fiestas?
Y	Y	Una
las	las	fiesta
~,	~,	de
¿~	¿~	la
cuándo	cuándo	femella,
son	son	una
las	las	fiesta
fiestas	fiestas	de
[R-Grb]	[R-Grb]	popular.
por	por	Bueno,
Campos	Campos	en
~,	~,
por	por
Llucmajor	Llucmajor
~?	~?
¿~	¿~
Hay	Hay
alguna	alguna
fiesta	fiesta
~,	~,
[HS:I1	[HS:I1
		[OTRAS-EM]			[OTRAS-EM]
		]			]
alguna	alguna
romería	romería
~,	~,
alguna	alguna
fiesta	fiesta
así	así
popular	popular
~?	~?
Una	Una
cosa	cosa
~…	~…
[HS:I1	[HS:I1
		Bueno			Bueno
~,	~,
en	en
Ca-	Ca-
		]			]
~.	~.
Los	Los
sa-	sa-
~,	~,
[R-Grb]	[R-Grb]
los	los
santos	santos
~,	~,
el	el
patrón	patrón
~.	~.
