estandar	dialectal	whisper
Mi	Mi	Es
madre	madre	totalmente
fue	fue	maravilloso.
concejal	concejal	Y
también	también	ahora
en	en	está
León	León	estudiado
~,	~,	y
[HS:I3	[HS:I3	concejal
		En			En	también.
León	León	O
~.	~.	sea
		]			]	que
[HS:I1	[HS:I1	sí
		León			León	que
~.	~.	él
		]			]	fue
por	por	concejal
el	el	también.
tercio	tercio	Sí,
familiar	familiar	sí.
también	también	Y
la	la	un
eligieron	eligieron	poco
~,	~,	la
[HS:I3	[HS:I3	saga.
		[A-Inn]			[A-Inn]	Sí,
~.	~.	sí.
		]			]	Aé,
y	y	sí.
la	la	Mi
mujer	mujer	madre
~,	~,	fue
la	la	concejal
primera	primera	también
mujer	mujer	en
concejala	concejala	León.
allí	allí	Sí,
en	en	sí.
León	León	Por
~,	~,	el
porque	porque	tercio
eran	eran	familia
todo	todo	está
hombres	hombres	con
allí	allí	la...
en	en	Aletear.
el	el	¿Cómo
ayuntamiento	ayuntamiento	he
~…	~…	habido?
[HS:I1	[HS:I1	Y
		Antes			Antes	la
sí	sí	primera
~.	~.	mujer
Sí	Sí	concejal
~,	~,	ahí
sí	sí	en
~,	~,	León.
sí	sí	Porque
~.	~.	van
 	 	todos
 	 	hombres
 	 	ahí
 	 	en
 	 	el
 	 	aletear.
 	 	Sí,
 	 	sí.
