estandar	dialectal	whisper
Porque	Porque	No
de	de	echaba
~,	~,	de
~¡~	~¡~	menos,
claro	claro	¿no?
~!	~!	Porque
Porque	Porque	es
estaba	estaba	claro
criao	criao	que
aquí	aquí	estaba
~.	~.	criado
Y	Y	y
te-	te-	tenía
~,	~,	y
y	y	tuve
tenía	tenía	que
~,	~,	hacer
y	y	mi
tu-	tu-	aterno.
~,	~,	Es
y	y	lo
tuve	tuve	que
que	que	me
hacerme	hacerme	voy
a	a	a
aquello	aquello	ver.
~.	~.	Es
[HS:E1	[HS:E1	cierto,
		[Asent]			[Asent]	porque
~.	~.	estar
		]			]	uno
~.	~.	en
Eso	Eso	la
~,	~,	melee
porque	porque	por
estar	estar	bien
uno	uno	que
en	en	estén,
la	la	no
mili	mili	está
~,	~,	nunca
por	por	como
bien	bien	en
que	que	la
esté	esté	casa.
~,	~,	Ahí
no	no	va
~,	~,	a
no	no	haber
está	está	que
nunca	nunca	ver
como	como	que
en	en	va
la	la	a
casa	casa	haber
~.	~.	uno
[OTRAS-EM]	[OTRAS-EM]	de
Ahí	Ahí	acá
debajo	debajo	para
de	de	adelante.
cualquier	cualquier	De
[A-PIn:	[A-PIn:	hecho
		cavada			cavá	estaba
~,	~,	en
pa	pa	una
allí	allí	torta
había	había	por
alguno	alguno	menúter.
echao	echao	A
		]			]	mí
pa	pa	gracias
alante	alante	a
~,	~,	Dios,
le	le	no,
soltaban	soltaban	allá
a	a	va.
uno	uno	Pero
una	una	yo
torta	torta	lo
por	por	veí,
menudear	menudear	mangón,
~.	~.	machangos
[RISA]	[RISA]	de
A	A	sentillos
mí	mí	y
~,	~,	cabillos
gracias	gracias	primeros.
a	a	A
Dios	Dios	mí
~,	~,	se
no	no	han
[A-PIn:	[A-PIn:	ido
		ya			ya	a
bue-	bue-	tener
~…	~…	un
		]			]	coraje.
~,	~,	Y
pero	pero	me
yo	yo	pegas
lo	lo	de
vi	veí	una
[HS:E1	[HS:E1	torta
		[Asent]			[Asent]	por
~.	~.	ti,
		]			]	oí,
y	y	porque
algunos	algunos	se
machangos	machangos	firmé,
~,	~,	pa,
de	de	pa.
esa	esa	A
gente	gente	mí
y	y	lo
[OTRAS-EM]	[OTRAS-EM]	torta
y	y	en
cabillos	cabillos	la
primeros	primeros
y	y
~…	~…
[A-PIn:	[A-PIn:
		a			a
esa	esa
gente	gente
		]			]
yo	yo
le	le
tenía	tenía
un	un
coraje	coraje
~.	~.
Y	Y
le	le
~,	~,
pegarle	pegale
una	una
torta	torta
a	a
un	un
tío	tío
ahí	ahí
por	por
~…	~…
«~	«~
Por	Por
asistirme	asistirme
~»	~»
~.	~.
~¡~	~¡~
Pa	Pa
~,	~,
pa	pa
~!	~!
[ONOMAT]	[ONOMAT]
Ahí	Ahí
dos	dos
tortas	tortas
en	en
la	la
cara	cara
~,	~,
coño	coño
~.	~.
